Continent,Country,%GDP Agriculture,%GDP Industry,%GDP Services,Children Per Women,Cumulative CO2 Emissions,Democracy Score,Energy Use Total,Extreme Poverty headcount ratio at $1.25 a day (PPP) (% of population),GDP Per Capital,GDP Total,HDI,Life Expectancy,Murders Total Deaths,Population Density,Population Total,Poverty headcount ratio at $2 a day (PPP) (% of population),Working Hours per Week
africa,algeria,8.0253,61.283,30.6916,2.656,2.81492557E9,2.0,3.682332E7,NaN,2155.485,7.308519E10,0.68,70.18,3102.0,14.236,3.3906604E7,NaN,NaN
africa,angola,7.8603,66.5661,25.5741,6.523,3.05605664E8,-2.0,1.0968137E7,NaN,562.9877,2.1674668E10,0.471,49.471,6226.0,14.057,1.7525368E7,NaN,NaN
africa,benin,NaN,NaN,NaN,5.365,4.3211668E7,7.0,3207252.0,NaN,366.045,2.96956646E9,0.414,57.933,1046.0,72.034,8112573.0,NaN,NaN
africa,botswana,2.0336,53.1594,44.7832,2.91,8.3614664E7,8.0,2032669.0,NaN,4160.6626,8.0195538E9,0.618,46.422,390.0,3.313,1927540.0,NaN,NaN
africa,burkina,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
africa,burundi,37.8101,NaN,NaN,6.567,8272000.0,6.0,NaN,NaN,133.2869,1.02734605E9,0.289,51.045,2677.0,276.92,7707781.0,NaN,NaN
africa,cameroon,19.4652,30.644,49.8908,5.235,1.30390336E8,-4.0,6339740.0,9.56,647.9445,1.29127107E10,0.459,52.502,2808.0,38.596,1.8350022E7,30.36,NaN
africa,cape verde,7.2,15.6668,77.1332,2.66,5518333.5,10.0,103000.0,NaN,1735.8839,8.3847187E8,0.56,72.959,53.0,119.768,483023.0,NaN,NaN
africa,central african republic,53.8656,NaN,NaN,NaN,8506667.0,NaN,NaN,NaN,227.2706,9.8371533E8,0.323,NaN,NaN,6.679,NaN,NaN,NaN
africa,chad,12.5162,54.2645,33.2192,6.902,8092333.5,-2.0,NaN,NaN,292.1435,3.0300649E9,0.313,48.452,1860.0,8.078,1.0371839E7,NaN,NaN
africa,comoros,45.3437,11.8571,42.7992,5.112,2563000.0,9.0,41000.0,NaN,347.1,2.35543872E8,0.428,59.541,72.0,364.644,678602.0,NaN,NaN
africa,congo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
africa,congo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
africa,djibouti,3.8553,16.8857,79.2591,3.832,1.4542E7,2.0,143000.0,NaN,837.2779,7.0285549E8,0.416,58.816,27.0,36.183,839453.0,NaN,NaN
